reference_generic,month,year,ct_studies,month_year,hover_text
adalimumab,August,2018,0,2018-08-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>August-2018<br><b>No. of CT Studies: </b>0
adalimumab,August,2019,2,2019-08-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>August-2019<br><b>No. of CT Studies: </b>2
adalimumab,December,2010,1,2010-12-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>December-2010<br><b>No. of CT Studies: </b>1
adalimumab,December,2011,6,2011-12-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>December-2011<br><b>No. of CT Studies: </b>6
adalimumab,December,2012,5,2012-12-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>December-2012<br><b>No. of CT Studies: </b>5
adalimumab,December,2013,5,2013-12-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>December-2013<br><b>No. of CT Studies: </b>5
adalimumab,December,2014,5,2014-12-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>December-2014<br><b>No. of CT Studies: </b>5
adalimumab,December,2015,2,2015-12-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>December-2015<br><b>No. of CT Studies: </b>2
adalimumab,December,2016,6,2016-12-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>December-2016<br><b>No. of CT Studies: </b>6
adalimumab,December,2017,1,2017-12-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>December-2017<br><b>No. of CT Studies: </b>1
adalimumab,December,2018,2,2018-12-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>December-2018<br><b>No. of CT Studies: </b>2
adalimumab,December,2019,5,2019-12-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>December-2019<br><b>No. of CT Studies: </b>5
adalimumab,February,2010,3,2010-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2010<br><b>No. of CT Studies: </b>3
adalimumab,February,2011,2,2011-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2011<br><b>No. of CT Studies: </b>2
adalimumab,February,2012,2,2012-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2012<br><b>No. of CT Studies: </b>2
adalimumab,February,2013,3,2013-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2013<br><b>No. of CT Studies: </b>3
adalimumab,February,2014,2,2014-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2014<br><b>No. of CT Studies: </b>2
adalimumab,February,2015,1,2015-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2015<br><b>No. of CT Studies: </b>1
adalimumab,February,2016,4,2016-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2016<br><b>No. of CT Studies: </b>4
adalimumab,February,2017,1,2017-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2017<br><b>No. of CT Studies: </b>1
adalimumab,February,2018,1,2018-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2018<br><b>No. of CT Studies: </b>1
adalimumab,February,2019,5,2019-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2019<br><b>No. of CT Studies: </b>5
adalimumab,February,2020,4,2020-02-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>February-2020<br><b>No. of CT Studies: </b>4
adalimumab,January,2010,3,2010-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2010<br><b>No. of CT Studies: </b>3
adalimumab,January,2011,5,2011-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2011<br><b>No. of CT Studies: </b>5
adalimumab,January,2012,4,2012-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2012<br><b>No. of CT Studies: </b>4
adalimumab,January,2013,3,2013-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2013<br><b>No. of CT Studies: </b>3
adalimumab,January,2014,7,2014-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2014<br><b>No. of CT Studies: </b>7
adalimumab,January,2015,3,2015-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2015<br><b>No. of CT Studies: </b>3
adalimumab,January,2016,6,2016-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2016<br><b>No. of CT Studies: </b>6
adalimumab,January,2017,4,2017-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2017<br><b>No. of CT Studies: </b>4
adalimumab,January,2018,3,2018-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2018<br><b>No. of CT Studies: </b>3
adalimumab,January,2019,4,2019-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2019<br><b>No. of CT Studies: </b>4
adalimumab,January,2020,6,2020-01-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>January-2020<br><b>No. of CT Studies: </b>6
adalimumab,July,2010,0,2010-07-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>July-2010<br><b>No. of CT Studies: </b>0
adalimumab,July,2011,3,2011-07-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>July-2011<br><b>No. of CT Studies: </b>3
adalimumab,July,2012,3,2012-07-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>July-2012<br><b>No. of CT Studies: </b>3
adalimumab,July,2013,4,2013-07-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>July-2013<br><b>No. of CT Studies: </b>4
adalimumab,July,2014,3,2014-07-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>July-2014<br><b>No. of CT Studies: </b>3
adalimumab,July,2015,3,2015-07-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>July-2015<br><b>No. of CT Studies: </b>3
adalimumab,July,2016,4,2016-07-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>July-2016<br><b>No. of CT Studies: </b>4
adalimumab,July,2017,4,2017-07-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>July-2017<br><b>No. of CT Studies: </b>4
adalimumab,July,2018,4,2018-07-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>July-2018<br><b>No. of CT Studies: </b>4
adalimumab,July,2019,3,2019-07-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>July-2019<br><b>No. of CT Studies: </b>3
adalimumab,June,2010,3,2010-06-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>June-2010<br><b>No. of CT Studies: </b>3
adalimumab,June,2011,6,2011-06-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>June-2011<br><b>No. of CT Studies: </b>6
adalimumab,June,2012,5,2012-06-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>June-2012<br><b>No. of CT Studies: </b>5
adalimumab,June,2013,4,2013-06-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>June-2013<br><b>No. of CT Studies: </b>4
adalimumab,June,2014,1,2014-06-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>June-2014<br><b>No. of CT Studies: </b>1
adalimumab,June,2015,6,2015-06-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>June-2015<br><b>No. of CT Studies: </b>6
adalimumab,June,2016,2,2016-06-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>June-2016<br><b>No. of CT Studies: </b>2
adalimumab,June,2017,5,2017-06-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>June-2017<br><b>No. of CT Studies: </b>5
adalimumab,June,2018,2,2018-06-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>June-2018<br><b>No. of CT Studies: </b>2
adalimumab,June,2019,5,2019-06-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>June-2019<br><b>No. of CT Studies: </b>5
adalimumab,March,2010,2,2010-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2010<br><b>No. of CT Studies: </b>2
adalimumab,March,2011,5,2011-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2011<br><b>No. of CT Studies: </b>5
adalimumab,March,2012,2,2012-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2012<br><b>No. of CT Studies: </b>2
adalimumab,March,2013,2,2013-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2013<br><b>No. of CT Studies: </b>2
adalimumab,March,2014,5,2014-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2014<br><b>No. of CT Studies: </b>5
adalimumab,March,2015,5,2015-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2015<br><b>No. of CT Studies: </b>5
adalimumab,March,2016,5,2016-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2016<br><b>No. of CT Studies: </b>5
adalimumab,March,2017,4,2017-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2017<br><b>No. of CT Studies: </b>4
adalimumab,March,2018,2,2018-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2018<br><b>No. of CT Studies: </b>2
adalimumab,March,2019,4,2019-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2019<br><b>No. of CT Studies: </b>4
adalimumab,March,2020,1,2020-03-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>March-2020<br><b>No. of CT Studies: </b>1
adalimumab,May,2010,6,2010-05-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>May-2010<br><b>No. of CT Studies: </b>6
adalimumab,May,2011,3,2011-05-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>May-2011<br><b>No. of CT Studies: </b>3
adalimumab,May,2012,6,2012-05-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>May-2012<br><b>No. of CT Studies: </b>6
adalimumab,May,2013,7,2013-05-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>May-2013<br><b>No. of CT Studies: </b>7
adalimumab,May,2014,6,2014-05-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>May-2014<br><b>No. of CT Studies: </b>6
adalimumab,May,2015,4,2015-05-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>May-2015<br><b>No. of CT Studies: </b>4
adalimumab,May,2016,3,2016-05-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>May-2016<br><b>No. of CT Studies: </b>3
adalimumab,May,2017,2,2017-05-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>May-2017<br><b>No. of CT Studies: </b>2
adalimumab,May,2018,4,2018-05-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>May-2018<br><b>No. of CT Studies: </b>4
adalimumab,May,2019,6,2019-05-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>May-2019<br><b>No. of CT Studies: </b>6
adalimumab,November,2010,5,2010-11-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>November-2010<br><b>No. of CT Studies: </b>5
adalimumab,November,2011,5,2011-11-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>November-2011<br><b>No. of CT Studies: </b>5
adalimumab,November,2012,1,2012-11-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>November-2012<br><b>No. of CT Studies: </b>1
adalimumab,November,2013,0,2013-11-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>November-2013<br><b>No. of CT Studies: </b>0
adalimumab,November,2014,4,2014-11-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>November-2014<br><b>No. of CT Studies: </b>4
adalimumab,November,2015,5,2015-11-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>November-2015<br><b>No. of CT Studies: </b>5
adalimumab,November,2016,4,2016-11-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>November-2016<br><b>No. of CT Studies: </b>4
adalimumab,November,2017,2,2017-11-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>November-2017<br><b>No. of CT Studies: </b>2
adalimumab,November,2018,1,2018-11-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>November-2018<br><b>No. of CT Studies: </b>1
adalimumab,November,2019,1,2019-11-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>November-2019<br><b>No. of CT Studies: </b>1
adalimumab,October,2010,7,2010-10-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>October-2010<br><b>No. of CT Studies: </b>7
adalimumab,October,2011,5,2011-10-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>October-2011<br><b>No. of CT Studies: </b>5
adalimumab,October,2012,5,2012-10-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>October-2012<br><b>No. of CT Studies: </b>5
adalimumab,October,2013,4,2013-10-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>October-2013<br><b>No. of CT Studies: </b>4
adalimumab,October,2014,2,2014-10-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>October-2014<br><b>No. of CT Studies: </b>2
adalimumab,October,2015,1,2015-10-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>October-2015<br><b>No. of CT Studies: </b>1
adalimumab,October,2016,4,2016-10-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>October-2016<br><b>No. of CT Studies: </b>4
adalimumab,October,2017,6,2017-10-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>October-2017<br><b>No. of CT Studies: </b>6
adalimumab,October,2018,1,2018-10-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>October-2018<br><b>No. of CT Studies: </b>1
adalimumab,October,2019,5,2019-10-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>October-2019<br><b>No. of CT Studies: </b>5
adalimumab,September,2010,5,2010-09-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>September-2010<br><b>No. of CT Studies: </b>5
adalimumab,September,2011,2,2011-09-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>September-2011<br><b>No. of CT Studies: </b>2
adalimumab,September,2012,1,2012-09-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>September-2012<br><b>No. of CT Studies: </b>1
adalimumab,September,2013,2,2013-09-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>September-2013<br><b>No. of CT Studies: </b>2
adalimumab,September,2014,4,2014-09-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>September-2014<br><b>No. of CT Studies: </b>4
adalimumab,September,2015,4,2015-09-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>September-2015<br><b>No. of CT Studies: </b>4
adalimumab,September,2016,9,2016-09-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>September-2016<br><b>No. of CT Studies: </b>9
adalimumab,September,2017,4,2017-09-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>September-2017<br><b>No. of CT Studies: </b>4
adalimumab,September,2018,2,2018-09-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>September-2018<br><b>No. of CT Studies: </b>2
adalimumab,September,2019,6,2019-09-01,<b>Reference Generic: </b>adalimumab<br><b>Month: </b>September-2019<br><b>No. of CT Studies: </b>6
bevacizumab,April,2010,15,2010-04-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>April-2010<br><b>No. of CT Studies: </b>15
bevacizumab,April,2011,12,2011-04-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>April-2011<br><b>No. of CT Studies: </b>12
bevacizumab,April,2012,14,2012-04-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>April-2012<br><b>No. of CT Studies: </b>14
bevacizumab,April,2013,9,2013-04-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>April-2013<br><b>No. of CT Studies: </b>9
bevacizumab,April,2014,13,2014-04-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>April-2014<br><b>No. of CT Studies: </b>13
bevacizumab,April,2015,11,2015-04-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>April-2015<br><b>No. of CT Studies: </b>11
bevacizumab,April,2016,16,2016-04-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>April-2016<br><b>No. of CT Studies: </b>16
bevacizumab,April,2017,14,2017-04-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>April-2017<br><b>No. of CT Studies: </b>14
bevacizumab,April,2018,11,2018-04-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>April-2018<br><b>No. of CT Studies: </b>11
bevacizumab,April,2019,11,2019-04-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>April-2019<br><b>No. of CT Studies: </b>11
bevacizumab,August,2010,11,2010-08-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>August-2010<br><b>No. of CT Studies: </b>11
bevacizumab,August,2011,16,2011-08-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>August-2011<br><b>No. of CT Studies: </b>16
bevacizumab,August,2012,10,2012-08-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>August-2012<br><b>No. of CT Studies: </b>10
bevacizumab,August,2013,13,2013-08-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>August-2013<br><b>No. of CT Studies: </b>13
bevacizumab,August,2014,10,2014-08-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>August-2014<br><b>No. of CT Studies: </b>10
bevacizumab,August,2015,12,2015-08-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>August-2015<br><b>No. of CT Studies: </b>12
bevacizumab,August,2016,8,2016-08-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>August-2016<br><b>No. of CT Studies: </b>8
bevacizumab,August,2017,14,2017-08-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>August-2017<br><b>No. of CT Studies: </b>14
bevacizumab,August,2018,13,2018-08-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>August-2018<br><b>No. of CT Studies: </b>13
bevacizumab,August,2019,6,2019-08-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>August-2019<br><b>No. of CT Studies: </b>6
bevacizumab,December,2010,23,2010-12-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>December-2010<br><b>No. of CT Studies: </b>23
bevacizumab,December,2011,14,2011-12-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>December-2011<br><b>No. of CT Studies: </b>14
bevacizumab,December,2012,12,2012-12-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>December-2012<br><b>No. of CT Studies: </b>12
bevacizumab,December,2013,14,2013-12-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>December-2013<br><b>No. of CT Studies: </b>14
bevacizumab,December,2014,13,2014-12-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>December-2014<br><b>No. of CT Studies: </b>13
bevacizumab,December,2015,10,2015-12-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>December-2015<br><b>No. of CT Studies: </b>10
bevacizumab,December,2016,7,2016-12-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>December-2016<br><b>No. of CT Studies: </b>7
bevacizumab,December,2017,15,2017-12-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>December-2017<br><b>No. of CT Studies: </b>15
bevacizumab,December,2018,7,2018-12-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>December-2018<br><b>No. of CT Studies: </b>7
bevacizumab,December,2019,12,2019-12-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>December-2019<br><b>No. of CT Studies: </b>12
bevacizumab,February,2010,14,2010-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2010<br><b>No. of CT Studies: </b>14
bevacizumab,February,2011,11,2011-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2011<br><b>No. of CT Studies: </b>11
bevacizumab,February,2012,10,2012-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2012<br><b>No. of CT Studies: </b>10
bevacizumab,February,2013,9,2013-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2013<br><b>No. of CT Studies: </b>9
bevacizumab,February,2014,14,2014-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2014<br><b>No. of CT Studies: </b>14
bevacizumab,February,2015,7,2015-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2015<br><b>No. of CT Studies: </b>7
bevacizumab,February,2016,6,2016-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2016<br><b>No. of CT Studies: </b>6
bevacizumab,February,2017,8,2017-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2017<br><b>No. of CT Studies: </b>8
bevacizumab,February,2018,10,2018-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2018<br><b>No. of CT Studies: </b>10
bevacizumab,February,2019,7,2019-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2019<br><b>No. of CT Studies: </b>7
bevacizumab,February,2020,10,2020-02-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>February-2020<br><b>No. of CT Studies: </b>10
bevacizumab,January,2010,21,2010-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2010<br><b>No. of CT Studies: </b>21
bevacizumab,January,2011,11,2011-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2011<br><b>No. of CT Studies: </b>11
bevacizumab,January,2012,11,2012-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2012<br><b>No. of CT Studies: </b>11
bevacizumab,January,2013,7,2013-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2013<br><b>No. of CT Studies: </b>7
bevacizumab,January,2014,17,2014-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2014<br><b>No. of CT Studies: </b>17
bevacizumab,January,2015,12,2015-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2015<br><b>No. of CT Studies: </b>12
bevacizumab,January,2016,10,2016-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2016<br><b>No. of CT Studies: </b>10
bevacizumab,January,2017,9,2017-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2017<br><b>No. of CT Studies: </b>9
bevacizumab,January,2018,12,2018-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2018<br><b>No. of CT Studies: </b>12
bevacizumab,January,2019,15,2019-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2019<br><b>No. of CT Studies: </b>15
bevacizumab,January,2020,12,2020-01-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>January-2020<br><b>No. of CT Studies: </b>12
bevacizumab,July,2010,10,2010-07-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>July-2010<br><b>No. of CT Studies: </b>10
bevacizumab,July,2011,12,2011-07-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>July-2011<br><b>No. of CT Studies: </b>12
bevacizumab,July,2012,16,2012-07-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>July-2012<br><b>No. of CT Studies: </b>16
bevacizumab,July,2013,11,2013-07-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>July-2013<br><b>No. of CT Studies: </b>11
bevacizumab,July,2014,6,2014-07-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>July-2014<br><b>No. of CT Studies: </b>6
bevacizumab,July,2015,11,2015-07-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>July-2015<br><b>No. of CT Studies: </b>11
bevacizumab,July,2016,11,2016-07-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>July-2016<br><b>No. of CT Studies: </b>11
bevacizumab,July,2017,4,2017-07-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>July-2017<br><b>No. of CT Studies: </b>4
bevacizumab,July,2018,11,2018-07-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>July-2018<br><b>No. of CT Studies: </b>11
bevacizumab,July,2019,10,2019-07-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>July-2019<br><b>No. of CT Studies: </b>10
bevacizumab,June,2010,11,2010-06-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>June-2010<br><b>No. of CT Studies: </b>11
bevacizumab,June,2011,14,2011-06-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>June-2011<br><b>No. of CT Studies: </b>14
bevacizumab,June,2012,17,2012-06-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>June-2012<br><b>No. of CT Studies: </b>17
bevacizumab,June,2013,14,2013-06-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>June-2013<br><b>No. of CT Studies: </b>14
bevacizumab,June,2014,5,2014-06-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>June-2014<br><b>No. of CT Studies: </b>5
bevacizumab,June,2015,10,2015-06-01,<b>Reference Generic: </b>bevacizumab<br><b>Month: </b>June-2015<br><b>No. of CT Studies: </b>10
